song,scores,pool
violent,4.1,volunteer
violent,3.5,volunteer
violent,3.4,volunteer
violent,4.1,volunteer
violent,3.7,volunteer
violent,2.8,volunteer
violent,3.4,volunteer
violent,4,volunteer
violent,2.5,volunteer
violent,3,volunteer
violent,3.4,volunteer
violent,3.5,volunteer
violent,3.2,volunteer
violent,3.1,volunteer
violent,3.6,volunteer
violent,3.4,psychology class
violent,3.9,psychology class
violent,4.2,psychology class
violent,3.2,psychology class
violent,4.3,psychology class
violent,3.3,psychology class
violent,3.1,psychology class
violent,3.2,psychology class
violent,3.8,psychology class
violent,3.1,psychology class
violent,3.8,psychology class
violent,4.1,psychology class
violent,3.3,psychology class
violent,3.8,psychology class
violent,4.5,psychology class
nonviolent,2.4,volunteer
nonviolent,2.4,volunteer
nonviolent,2.5,volunteer
nonviolent,2.6,volunteer
nonviolent,3.6,volunteer
nonviolent,4,volunteer
nonviolent,3.3,volunteer
nonviolent,3.7,volunteer
nonviolent,2.8,volunteer
nonviolent,2.9,volunteer
nonviolent,3.2,volunteer
nonviolent,2.5,volunteer
nonviolent,2.9,volunteer
nonviolent,3,volunteer
nonviolent,2.4,volunteer
nonviolent,2.5,psychology class
nonviolent,2.9,psychology class
nonviolent,2.9,psychology class
nonviolent,3,psychology class
nonviolent,2.6,psychology class
nonviolent,2.4,psychology class
nonviolent,3.5,psychology class
nonviolent,3.3,psychology class
nonviolent,3.7,psychology class
nonviolent,3.3,psychology class
nonviolent,2.8,psychology class
nonviolent,2.5,psychology class
nonviolent,2.8,psychology class
nonviolent,2,psychology class
nonviolent,3.1,psychology class
